kata,f1_frekuensi,f2_panjang,f3_huruf_bingung,f4_suku_kata,f5_fonem_kompleks,f6_visual,f1_frekuensi_norm,f2_panjang_norm,f3_huruf_bingung_norm,f4_suku_kata_norm,f5_fonem_kompleks_norm,f6_visual_norm,klaster,label
cokelat,5,7,0,3,0,0.0,0.0120845921450151,0.2272727272727272,0.0,0.25,0.0,0.0,0,mudah
mirna,8,5,0,2,0,0.4,0.0211480362537764,0.1363636363636363,0.0,0.125,0.0,0.4,0,mudah
nurul,14,5,0,2,0,0.6,0.039274924471299,0.1363636363636363,0.0,0.125,0.0,0.6,0,mudah
sebelahnya,2,10,1,4,0,0.2,0.0030211480362537,0.3636363636363636,1.0,0.375,0.0,0.2,1,sulit
sem,1,3,0,1,0,0.3333,0.0,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
bari,1,4,1,2,0,0.25,0.0,0.0909090909090909,1.0,0.125,0.0,0.25,1,sulit
menyetujui,1,10,1,5,0,0.4,0.0,0.3636363636363636,1.0,0.5,0.0,0.4,1,sulit
pendapat,3,8,1,3,0,0.5,0.0060422960725075,0.2727272727272727,1.0,0.25,0.0,0.5,1,sulit
karina,4,6,0,3,0,0.1667,0.0090634441087613,0.1818181818181818,0.0,0.25,0.0,0.1667,0,mudah
ayu,14,3,0,2,0,0.3333,0.039274924471299,0.0454545454545454,0.0,0.125,0.0,0.3333,0,mudah
hadapan,2,7,1,3,0,0.4286,0.0030211480362537,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
arina,1,5,0,3,0,0.2,0.0,0.1363636363636363,0.0,0.25,0.0,0.2,0,mudah
perkiraanku,1,11,1,5,0,0.2727,0.0,0.409090909090909,1.0,0.5,0.0,0.2727,1,sulit
menden,1,6,1,2,0,0.6667,0.0,0.1818181818181818,1.0,0.125,0.0,0.6667,1,sulit
gar,1,3,0,1,0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0,mudah
apala,1,5,1,3,0,0.2,0.0,0.1363636363636363,1.0,0.25,0.0,0.2,1,sulit
gi,1,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mudah
berpendapat,1,11,1,4,0,0.4545,0.0,0.409090909090909,1.0,0.375,0.0,0.4545,1,sulit
men,6,3,0,1,0,0.6667,0.0151057401812688,0.0454545454545454,0.0,0.0,0.0,0.6667,0,mudah
memotong,2,8,1,3,0,0.375,0.0030211480362537,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
kalimatnya,2,10,1,4,0,0.2,0.0030211480362537,0.3636363636363636,1.0,0.375,0.0,0.2,1,sulit
yu,1,2,0,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0,mudah
kelanjutan,1,10,0,4,0,0.3,0.0,0.3636363636363636,0.0,0.375,0.0,0.3,0,mudah
kalimat,1,7,0,3,0,0.1429,0.0,0.2272727272727272,0.0,0.25,0.0,0.1429,0,mudah
pelitnya,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
ampun,5,5,1,2,0,0.8,0.0120845921450151,0.1363636363636363,1.0,0.125,0.0,0.8,1,sulit
sifat,1,5,0,2,0,0.0,0.0,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
pelit,10,5,1,2,0,0.2,0.0271903323262839,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
tiada,2,5,1,3,0,0.2,0.0030211480362537,0.1363636363636363,1.0,0.25,0.0,0.2,1,sulit
duanya,1,6,1,3,0,0.5,0.0,0.1818181818181818,1.0,0.25,0.0,0.5,1,sulit
kepeli,1,6,1,3,0,0.1667,0.0,0.1818181818181818,1.0,0.25,0.0,0.1667,1,sulit
tan,2,3,0,1,0,0.3333,0.0030211480362537,0.0454545454545454,0.0,0.0,0.0,0.3333,0,mudah
bendaha,1,7,1,3,0,0.4286,0.0,0.2272727272727272,1.0,0.25,0.0,0.4286,1,sulit
ra,1,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mudah
membe,1,5,1,2,0,0.6,0.0,0.1363636363636363,1.0,0.125,0.0,0.6,1,sulit
li,1,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mudah
sapu,1,4,1,2,0,0.5,0.0,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
kemoceng,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
menyisihkan,1,11,1,4,0,0.2727,0.0,0.409090909090909,1.0,0.375,0.0,0.2727,1,sulit
loh,1,3,0,1,0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0,mudah
nggak,4,5,1,1,0,0.2,0.0090634441087613,0.1363636363636363,1.0,0.0,0.0,0.2,1,sulit
bayar,1,5,1,2,0,0.2,0.0,0.1363636363636363,1.0,0.125,0.0,0.2,1,sulit
mengatur,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
keti,2,4,0,2,0,0.0,0.0030211480362537,0.0909090909090909,0.0,0.125,0.0,0.0,0,mudah
lantaran,1,8,0,3,0,0.25,0.0,0.2727272727272727,0.0,0.25,0.0,0.25,0,mudah
kepelitan,1,9,1,4,0,0.2222,0.0,0.3181818181818182,1.0,0.375,0.0,0.2222,1,sulit
membekas,1,8,1,3,0,0.375,0.0,0.2727272727272727,1.0,0.25,0.0,0.375,1,sulit
pen,1,3,1,1,0,0.6667,0.0,0.0454545454545454,1.0,0.0,0.0,0.6667,1,sulit
silnya,1,6,1,2,0,0.1667,0.0,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
pensil,7,6,1,2,0,0.3333,0.0181268882175226,0.1818181818181818,1.0,0.125,0.0,0.3333,1,sulit
lasnya,1,6,1,2,0,0.1667,0.0,0.1818181818181818,1.0,0.125,0.0,0.1667,1,sulit
memili,1,6,0,3,0,0.3333,0.0,0.1818181818181818,0.0,0.25,0.0,0.3333,0,mudah
kotak,3,5,0,2,0,0.0,0.0060422960725075,0.1363636363636363,0.0,0.125,0.0,0.0,0,mudah
pensilnya,2,9,1,3,0,0.3333,0.0030211480362537,0.3181818181818182,1.0,0.25,0.0,0.3333,1,sulit
merupa,1,6,1,3,0,0.5,0.0,0.1818181818181818,1.0,0.25,0.0,0.5,1,sulit
tantenya,1,8,1,3,0,0.25,0.0,0.2727272727272727,1.0,0.25,0.0,0.25,1,sulit
dipa,1,4,1,2,0,0.5,0.0,0.0909090909090909,1.0,0.125,0.0,0.5,1,sulit
kai,1,3,0,2,0,0.0,0.0,0.0454545454545454,0.0,0.125,0.0,0.0,0,mudah
punyaku,1,7,1,3,0,0.5714,0.0,0.2272727272727272,1.0,0.25,0.0,0.5714,1,sulit
permohonan,1,10,1,4,0,0.4,0.0,0.3636363636363636,1.0,0.375,0.0,0.4,1,sulit
tertinggal,3,10,1,3,0,0.1,0.0060422960725075,0.3636363636363636,1.0,0.25,0.0,0.1,1,sulit
penjelasan,2,10,1,4,0,0.3,0.0030211480362537,0.3636363636363636,1.0,0.375,0.0,0.3,1,sulit
bercerita,17,9,1,4,0,0.1111,0.0483383685800604,0.3181818181818182,1.0,0.375,0.0,0.1111,1,sulit
koleksi,1,7,0,3,0,0.0,0.0,0.2272727272727272,0.0,0.25,0.0,0.0,0,mudah
antik,1,5,0,2,0,0.2,0.0,0.1363636363636363,0.0,0.125,0.0,0.2,0,mudah
